ticker,date,close,source,note
GOLD,2025-11-10,27.2141,yfinance,gap-bridge 2025-05-27..2025-12-02 scale=1.0203
GOLD,2025-11-11,26.1256,yfinance,gap-bridge 2025-05-27..2025-12-02 scale=1.0210
GOLD,2025-11-12,26.4228,yfinance,gap-bridge 2025-05-27..2025-12-02 scale=1.0216
GOLD,2025-11-13,25.5739,yfinance,gap-bridge 2025-05-27..2025-12-02 scale=1.0222
GOLD,2025-11-14,25.3981,yfinance,gap-bridge 2025-05-27..2025-12-02 scale=1.0228
GOLD,2025-11-17,25.5852,yfinance,gap-bridge 2025-05-27..2025-12-02 scale=1.0247
GOLD,2025-11-18,25.8427,yfinance,gap-bridge 2025-05-27..2025-12-02 scale=1.0253
GOLD,2025-11-19,26.1634,yfinance,gap-bridge 2025-05-27..2025-12-02 scale=1.0259
GOLD,2025-11-20,26.3216,yfinance,gap-bridge 2025-05-27..2025-12-02 scale=1.0265
GOLD,2025-11-21,26.9281,yfinance,gap-bridge 2025-05-27..2025-12-02 scale=1.0271
GOLD,2025-11-24,26.5685,yfinance,gap-bridge 2025-05-27..2025-12-02 scale=1.0290
GOLD,2025-11-25,27.1255,yfinance,gap-bridge 2025-05-27..2025-12-02 scale=1.0296
GOLD,2025-11-26,27.8568,yfinance,gap-bridge 2025-05-27..2025-12-02 scale=1.0302
GOLD,2025-11-28,29.3629,yfinance,gap-bridge 2025-05-27..2025-12-02 scale=1.0314
GOLD,2025-12-01,29.9688,yfinance,gap-bridge 2025-05-27..2025-12-02 scale=1.0333
